región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Tacna,8829824.08318592,8458,69763,5177,5682,8516,4938,2021
Ayacucho,511996.1753775865,146549,57183.40874,86814.32,25825,30611,5520,2021
Apurímac,390972.7873176138,76264.8,65607.8,40146.899999999994,16519.3,21097.4,10267,2021
Cusco,1845088.578196558,302622,104462,75405,4169,94213,20127,2021
Puno,1292947.3629430626,607120,77120,148290,0,209955,39745,2021
San Martín,17707529.420271695,5001,74226,53860,0,0,0,2021
Loreto,11710287.816596728,2117,47120,10547,29,0,0,2021
Ucayali,7107179.635246921,2476,16005,17092,0,0,0,2021
Madre de Dios,4303100.038171062,1676,19078,13775,0,0,0,2021
Tumbes,100948.6075065078,2585,6827.8,4115.21,18938.32,0,0,2020
Piura,14541834.941241987,115546.38078540721,114836.53633406,47306.123022090396,95060,0,0,2020
Lambayeque,11620616.974909676,29877.520000000004,29989.179858279316,19737.6,22921.44,0,0,2020
La Libertad,137305162.27900863,192047,326814,60576,37143,1394,0,2020
Cajamarca,1742873.6501045711,79719,131905,165617,23891.62,0,0,2020
Amazonas,394488.31109673815,2948,30202,54126,4182,0,0,2020
Ancash,16264594.795912124,132083,49768,68633,19925,391,0,2020
Lima,392726284.4005085,57495,1147785.67,106805,37543,2694,2296,2020
Ica,44486452.463457584,10985,218375,15834,19360,0,0,2020
Huánuco,635672.4464906651,154904,208063,148059,23261,1317,0,2020
Pasco,293306.405108657,108235,36484,22902,955,16380,3856,2020
Junín,4976720.492687145,265903,105858,49952,3158,11213,7247,2020
Huancavelica,493340.95226419985,100704.45,40726.149999999994,28578.550000000003,23386.680000000004,20189.91,7612.86,2020
Arequipa,73941193.13366662,141481,203325,28525,9386,41394,11033,2020
Moquegua,97080.22229715988,3452,21353,3105,759,3828,1304,2020
Tacna,8739392.763085745,8281,69594,5096,5507,8252,4656,2020
Ayacucho,531687.409329626,136859,54161,82039.34,25403,35844,6966,2020
Apurímac,405983.8220071995,78661.45,70472.48,41244.61,18028.52,22604.524999999998,9437.619999999999,2020
Cusco,1865477.4692865205,295095,91405,70246,4023,89538,19393,2020
Puno,1341815.9399836499,614980,77325,147110,0,209190,39884,2020
San Martín,17962884.943224095,6053.23,67171,40730,0,0,0,2020
Loreto,11814050.380374953,2064,54911.25278269584,10542,34,0,0,2020
Ucayali,7076354.249231145,2648.7,16326,16472.57,0,0,0,2020
Madre de Dios,4244124.41543883,2043,17486,12717,0,0,0,2020
Tumbes,132083,2941,6339,4510,22337,0,0,2019
Piura,14783876,120555,113620,47805,93286,0,0,2019
Lambayeque,12079398,31831,31654,21454,26996,0,0,2019
