región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
San Martín,2.2125074036869465,11.629680001885626,38.92412652376439,118.00702167478924,0,0,0,2024
Loreto,2.210958147576058,14.810184804928129,42.847938741913794,150.44052026900806,0,0,0,2024
Ucayali,2.2231548393997143,11.514703703703704,40.79780839461291,128.97427819480043,0,0,0,2024
Madre de Dios,2.226395052600001,17.686126373626372,61.50800670936973,163.1438836724531,0,0,0,2024
Tumbes,2.538368191016325,11.558080808080808,57.769845317015125,140.41269121813033,10.182360742705571,0,0,2023
Piura,2.2298019533533506,16.408305146854627,52.588949529874334,152.01236401373532,14.496852400288509,0,0,2023
Lambayeque,2.224405588402564,16.4525289975145,53.641330128755364,145.79298942984948,14.324624792099792,0,0,2023
La Libertad,2.2215998757491113,13.65255833178525,59.29402477316865,143.26019645377644,13.186944954128442,31.229016083881984,0,2023
Cajamarca,2.1919369683669245,11.633640404503542,40.95997347364292,134.9361347558227,11.015536104328476,0,0,2023
Amazonas,2.124342268785467,15.887097701149429,52.491636464182406,145.99958617061432,12.616314136125652,0,0,2023
Ancash,2.278966239167343,10.720096115046001,31.44109695724634,137.4205897824878,9.910111232959471,24.87013441773642,0,2023
Lima,2.272056772380293,12.570773673275344,63.27686542843522,197.3489328002891,12.629697585491096,29.043631487387653,32.28930424528302,2023
Ica,2.1989501101098625,11.951830934124825,44.320796537608686,128.98872119487908,13.69212068059749,0,0,2023
Huánuco,2.131098393587767,11.131182764651806,37.93271265094316,166.43933273532105,9.839612473986787,26.442507020040818,0,2023
Pasco,2.2049239218398093,11.88064395288828,37.263642894164406,160.80908868367462,11.162179351206898,23.019311800425537,29.298508083900675,2023
Junín,2.2242864341515287,11.526580573523566,46.66665029122093,143.2566903474118,10.38983138780804,22.491208194830744,27.953776665215504,2023
Huancavelica,2.1397510564681124,12.8387583678266,40.198690629747475,121.93289187029481,14.576522832006704,24.820754318306,31.718160965024257,2023
