región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Ancash,37866.30653441015,1436.8788028763058,1905.4247989,8649.11450032,207.69611122036457,13.007080300476147,0,2023
Lima,992823.2228870406,713.9445199999999,93275.56043499999,21843.566627,462.398488,100.17148500000002,68.453325,2023
Ica,95972.49888041928,144.9637574,14410.951315000002,4533.95355,307.7304122964286,0,0,2023
Huánuco,1242.6855818941547,1801.7155046520706,7711.910145499999,26629.62748032043,244.6914830031034,43.44503903392706,0,2023
Pasco,549.7176773133879,1333.9349417423903,1443.5935257199292,3758.269211626159,12.948128047400001,416.0740607926916,129.9974803682673,2023
Junín,9835.53688427492,3508.6795999999995,5937.071250000001,8449.13634,40.0528,331.5429,256.83930000000004,2023
Huancavelica,940.7793002955204,1249.16972,1402.41172,2899.1983699999996,278.35328000000004,499.23944000000006,248.480073,2023
Arequipa,162115.31496800587,1848.6866,12237.725,5481.407,118.53600000000002,1192.7976,461.2183,2023
Moquegua,183.20841094236715,77.152845625,1317.9349576805002,747.8455344857891,14.910489086571003,136.7632242429068,63.381679924000004,2023
Tacna,18512.862328639698,209.16481199999998,3015.9881499999997,1017.4038084090909,89.34098390481927,264.9516172936678,153.4480507681571,2023
Ayacucho,1013.9557212664729,1752.0371999999998,3060.8287499999997,12583.076490000001,298.3384,745.23915,158.01255,2023
Apurímac,712.3697719280494,791.7210799999999,2396.23784,4072.617498,174.25475400000002,501.9239794999999,278.84900700000003,2023
Cusco,3693.4557848546838,4045.1340000000005,5904.728250000002,11984.620049999996,53.82720000000001,2597.0751,619.4330999999999,2023
Puno,2552.121428455945,8477.459,2632.25,22610.585,0,5959.4952,1583.1625000000001,2023
San Martín,37615.11159608275,57.274016180000004,3055.5476793000003,5698.225955093216,0,0,0,2023
Loreto,25394.19831286516,29.5648,1947.5077499999998,1550.2587299999998,0.31367999999999996,0,0,2023
Ucayali,14646.529474516394,30.117150000000002,917.8587749999999,2732.73759,0,0,0,2023
Madre de Dios,9015.898997814682,26.425558999999996,1336.41297,1887.43894891,0,0,0,2023
Tumbes,242.66,27.47,285.09,494.43,191.45,0,0,2022
Piura,32372.31,1771.24,6003.66,7206.76,1350.55,0,0,2022
Lambayeque,26526.58,428.85,1521.26,2995.19,295.09,0,0,2022
La Libertad,319759.47,2850.39,20469.35,9165.85,460.07,41.37,0,2022
