región,year,specie,carne,poblacion,produccion,rendimiento
Amazonas,2021,porcino,1513.2697500000002,92127.0,28738.0,52.65744832625792
Ancash,2021,porcino,1799.308721829142,171027.0,60397.0,29.79135920375419
Lima,2021,porcino,75883.19383250001,490151.0,1182774.0,64.15696813803821
Ica,2021,porcino,12576.483275,99656.0,246350.0,51.05128181449158
Huánuco,2021,porcino,8094.1803875,405632.0,211032.0,38.35522758396831
Pasco,2021,porcino,1403.4169925,53247.0,38656.0,36.30528229770282
Junín,2021,porcino,5225.276999999999,193340.0,116573.0,44.8240759009376
Huancavelica,2021,porcino,1536.3650200000002,156489.0,40870.4,37.59114224475415
Arequipa,2021,porcino,11518.116999999998,116838.0,205510.0,56.046503819765455
Moquegua,2021,porcino,1228.8277395000002,13247.0,25858.0,47.52214941217419
Tacna,2021,porcino,2827.49475,38942.0,69763.0,40.530005160328535
Ayacucho,2021,porcino,2551.9107500000005,112392.0,57183.40874,44.62676860700908
Apurímac,2021,porcino,2655.7985447,137715.0,65607.8,40.47992075180085
Cusco,2021,porcino,4221.5305,121716.0,104462.0,40.412116367674365
Puno,2021,porcino,2611.1635,122635.0,77120.0,33.858447873443986
San Martín,2021,porcino,3077.2896750000004,179258.0,74226.0,41.45837947619433
Loreto,2021,porcino,2108.559,97342.0,47120.0,44.74870543293718
Ucayali,2021,porcino,719.2350000000001,46273.0,16005.0,44.93814432989692
Madre de Dios,2021,porcino,1240.1157299999998,12680.0,19078.0,65.00239700178214
Tumbes,2020,porcino,332.6862082174632,29015.0,6827.8,48.725242130329406
Piura,2020,porcino,6006.963073751085,157810.0,114836.53633406,52.30881447239755
Lambayeque,2020,porcino,1625.3261274015022,70227.0,29989.17985827932,54.197084918038776
La Libertad,2020,porcino,18996.62709,111448.0,326814.0,58.12672373276542
Cajamarca,2020,porcino,5721.8282712,288467.0,131905.0,43.378403178044806
Amazonas,2020,porcino,1707.201366111139,92127.0,30202.0,56.52610310943444
Ancash,2020,porcino,1605.4003692062977,170544.0,49768.0,32.25768303340094
Lima,2020,porcino,73425.73141499999,470025.0,1147785.67,63.97163977051569
Ica,2020,porcino,11271.688934999998,91117.0,218375.0,51.61620576989123
Huánuco,2020,porcino,7374.275549999999,402365.0,208063.0,35.442512844667235
Pasco,2020,porcino,1334.8254825,52698.0,36484.0,36.58659912564413
Junín,2020,porcino,4716.05325,178317.0,105858.0,44.55074958907216
Huancavelica,2020,porcino,1583.327995,155475.0,40726.15,38.87742875277924
Arequipa,2020,porcino,11395.316,116838.0,203325.0,56.044834624369855
Moquegua,2020,porcino,1010.900815,13102.0,21353.0,47.342331990820966
Tacna,2020,porcino,2793.732,37050.0,69594.0,40.14328821450125
Ayacucho,2020,porcino,2431.8015000000005,111843.0,54161.0,44.89949410092134
Apurímac,2020,porcino,2741.08984,140538.0,70472.48,38.89589014037821
Cusco,2020,porcino,3945.464952297172,123995.0,91405.0,43.16465130241421
Puno,2020,porcino,2603.1735,120306.0,77325.0,33.665354025218235
San Martín,2020,porcino,2820.2816268,180451.0,67171.0,41.98659580473716
Loreto,2020,porcino,2515.856911267928,95430.0,54911.25278269584,45.81678223995554
Ucayali,2020,porcino,737.2586475,43273.0,16326.0,45.15855981256891
Madre de Dios,2020,porcino,1107.8705550000002,12684.0,17486.0,63.357574917076526
Tumbes,2019,porcino,345.0,30010.0,6339.0,54.42498816848084
Piura,2019,porcino,5825.0,167860.0,113620.0,51.26738250308045
Lambayeque,2019,porcino,1721.0,73428.0,31654.0,54.36911606747962
La Libertad,2019,porcino,17654.0,113341.0,309578.0,57.02601606057278
Cajamarca,2019,porcino,6484.0,288252.0,150866.0,42.97853724497236
Amazonas,2019,porcino,1806.0,85700.0,34042.0,53.05211209682157
Ancash,2019,porcino,1593.0,171477.0,49555.0,32.146100292604174
Lima,2019,porcino,74813.0,464900.0,1178439.0,63.4848303560897
Ica,2019,porcino,11484.0,102767.0,212080.0,54.149377593361
Huánuco,2019,porcino,8079.0,405725.0,208424.0,38.76233063370821
Pasco,2019,porcino,1328.0,53567.0,36228.0,36.65672960141328
Junín,2019,porcino,4855.0,171904.0,114371.0,42.44957200688986
Huancavelica,2019,porcino,1633.0,157545.0,44440.0,36.74617461746175
Arequipa,2019,porcino,11061.0,107120.0,198540.0,55.7116953762466
Moquegua,2019,porcino,1163.0,13225.0,26011.0,44.71185267771328
Tacna,2019,porcino,2707.0,36232.0,68881.0,39.2996617354568
Ayacucho,2019,porcino,2757.0,118454.0,62319.0,44.24011938574111
Apurímac,2019,porcino,2775.0,133037.0,71343.0,38.896598124553215
Cusco,2019,porcino,4946.0,127738.0,120446.0,41.06404529830795
Puno,2019,porcino,2579.0,119760.0,77140.0,33.43271973036038
San Martín,2019,porcino,3034.0,170291.0,70713.0,42.90583061106162
Loreto,2019,porcino,2718.0,84515.0,60322.0,45.05818772587117
Ucayali,2019,porcino,848.0,48466.0,21739.0,39.00823404940429
Madre de Dios,2019,porcino,1050.0,13495.0,17517.0,59.941770851173146
Tumbes,2018,porcino,278.982,29540.0,6650.0,41.952180451127816
Piura,2018,porcino,5047.522268712922,170860.0,105011.10576396,48.06655669409435
Lambayeque,2018,porcino,1731.557525,74560.0,30218.0,57.30218826527235
La Libertad,2018,porcino,17459.092515000004,113664.0,306250.0,57.00928168163267
Cajamarca,2018,porcino,6251.288380124999,277982.0,145709.0,42.90255495628272
Amazonas,2018,porcino,1781.3535,83710.0,33636.0,52.95973064573671
Ancash,2018,porcino,1578.962712146605,172620.0,49016.0,32.21321022006294
Lima,2018,porcino,72790.710175,469546.0,1127541.7665,64.55699676735657
Ica,2018,porcino,4101.199920000001,66840.0,102194.0,40.13151378750221
Huánuco,2018,porcino,7946.004,406220.0,219610.0,36.18234142343245
Pasco,2018,porcino,1345.3232494,55140.0,34195.0,39.34268897207194
Junín,2018,porcino,4347.153827858915,175222.0,102607.0,42.36702981140581
Huancavelica,2018,porcino,1546.15920075,160430.0,43011.96,35.947192379747406
Arequipa,2018,porcino,11511.848999999998,92760.0,210205.0,54.76486762921909
Moquegua,2018,porcino,1199.64144975,12970.0,27007.0,44.41964860036287
Tacna,2018,porcino,2676.687325,36232.0,68005.0,39.36015476803176
Ayacucho,2018,porcino,2480.2125,102314.0,56117.0,44.19716841598802
Apurímac,2018,porcino,2796.17,131226.0,67544.0,41.39775553713135
Cusco,2018,porcino,5292.274600000001,137479.0,108714.0,48.680709016318055
Puno,2018,porcino,2562.695,114885.0,77010.0,33.27743150240229
San Martín,2018,porcino,2933.4180000000006,181290.0,67277.0,43.60209284004936
Loreto,2018,porcino,2998.159,83710.0,65574.0,45.72176472382346
Ucayali,2018,porcino,863.0042775000002,47302.0,23330.0,36.99118206172311
Madre de Dios,2018,porcino,901.6742675,13240.0,14474.0,62.29613565704022
Tumbes,2017,porcino,398.3565,30480.0,7991.0,49.850644475034414
Piura,2017,porcino,4739.332081917849,169531.0,110733.78628555202,42.79933199156049
Lambayeque,2017,porcino,1665.242975,68810.0,29483.0,56.481463046501375
La Libertad,2017,porcino,16876.29837,113018.0,298028.0,56.626553109103845
Cajamarca,2017,porcino,6393.484916325001,297734.0,147970.0,43.207980782084206
Amazonas,2017,porcino,1712.191625,85690.0,33563.0,51.01426049518816
Ancash,2017,porcino,1374.8966701466047,170334.0,42272.0,32.5249969281464
Lima,2017,porcino,71500.0739625,460253.0,1132149.0,63.154296795298144
Ica,2017,porcino,3934.9573875,54124.0,93401.0,42.1297136807957
Huánuco,2017,porcino,6784.161,405230.0,207816.0,32.64503695576856
Pasco,2017,porcino,1264.93548,51993.0,34316.0,36.861390604965614
Junín,2017,porcino,4446.93375,168586.0,106651.0,41.69612802505368
Huancavelica,2017,porcino,1486.4046600000004,174439.0,42772.0,34.751815673805304
Arequipa,2017,porcino,11362.384000000002,95391.0,202875.0,56.00682193468886
Moquegua,2017,porcino,884.84775,13480.0,21597.0,40.970864008890125
Tacna,2017,porcino,2620.5330000000004,36232.0,66586.0,39.35561529450636
Ayacucho,2017,porcino,2331.7566,106597.0,52959.0,44.02946807908003
Apurímac,2017,porcino,2873.818,134847.0,70374.0,40.83636001932532
Cusco,2017,porcino,5823.785249999999,160173.0,144583.0,40.27987557320016
Puno,2017,porcino,2539.6115000000004,112320.0,76729.0,33.0984569067758
San Martín,2017,porcino,2635.7455400000003,129292.0,59704.0,44.146883625887725
Loreto,2017,porcino,2381.1405,85320.0,55401.0,42.98009963719066
Ucayali,2017,porcino,873.060675,49630.0,21547.0,40.51889706223604
Madre de Dios,2017,porcino,836.932965,13750.0,13055.0,64.10823171198774
Tumbes,2024,vacuno,509.0932199999999,20364.0,3641.0,139.82236198846468
Piura,2024,vacuno,7470.177932962082,258181.0,50691.0,147.3669474455442
Lambayeque,2024,vacuno,2885.0078000000008,112932.0,20276.0,142.28683172223322
La Libertad,2024,vacuno,9279.8281803,234527.0,64178.0,144.59516002835863
Cajamarca,2024,vacuno,22242.532,662221.0,167972.0,132.41809349177245
Amazonas,2024,vacuno,9911.28987312,405462.0,67815.0,146.15188193054635
Ancash,2024,vacuno,8473.22926985289,307203.0,60566.0,139.90157387146215
Lima,2024,vacuno,23835.6579471,269830.0,123024.0,193.7473867755188
Ica,2024,vacuno,5289.4903303848805,56209.0,40371.0,131.02202894119245
Huánuco,2024,vacuno,28592.894945400003,287557.0,173113.0,165.16896446482934
Pasco,2024,vacuno,3880.3428140624897,117698.0,24126.0,160.83655865300878
Junín,2024,vacuno,7703.65934,343821.0,59597.0,129.2625356981056
Huancavelica,2024,vacuno,2773.3398,177820.0,22400.0,123.8098125
Arequipa,2024,vacuno,5264.2674,215870.0,31523.0,166.9976651968404
Moquegua,2024,vacuno,751.677633715,23187.0,3936.0,190.95144729292804
Tacna,2024,vacuno,1039.8313400000002,18974.0,5500.0,189.06024363636368
Ayacucho,2024,vacuno,12554.988000000005,430462.0,97622.0,128.60818258179512
Apurímac,2024,vacuno,3960.409,292266.0,34254.0,115.61887662754714
Cusco,2024,vacuno,12046.272999999996,443245.0,77528.0,155.37964348364457
Puno,2024,vacuno,22913.39,746265.0,155930.0,146.94664272429935
San Martín,2024,vacuno,5891.6084936387,216646.0,49926.0,118.00702167478924
Loreto,2024,vacuno,1610.6162100000004,75963.0,10706.0,150.44052026900806
Ucayali,2024,vacuno,2817.83003,65346.0,21848.0,128.97427819480043
Madre de Dios,2024,vacuno,2293.1504289000004,60117.0,14056.0,163.1438836724531
Tumbes,2023,vacuno,495.6568,17720.0,3530.0,140.41269121813033
Piura,2023,vacuno,7445.871515098868,268181.0,48982.01250541754,152.01236401373532
Lambayeque,2023,vacuno,2926.85258,109560.0,20075.4,145.79298942984948
La Libertad,2023,vacuno,8992.5857916,235167.0,62771.0,143.26019645377644
Cajamarca,2023,vacuno,22449.99942,656258.0,166375.0,134.9361347558227
Amazonas,2023,vacuno,9282.9456879,405051.0,63582.0,145.99958617061432
Ancash,2023,vacuno,8649.11450032,307203.0,62939.0,137.4205897824878
Lima,2023,vacuno,21843.566627,268184.0,110685.0,197.3489328002891
Ica,2023,vacuno,4533.95355,55524.0,35150.0,128.98872119487908
Huánuco,2023,vacuno,26629.62748032043,285746.0,159996.0,166.43933273532105
Pasco,2023,vacuno,3758.269211626159,118477.5,23371.0,160.80908868367462
Junín,2023,vacuno,8449.13634,359952.0,58979.0,143.2566903474118
Huancavelica,2023,vacuno,2899.19837,178512.0,23777.0,121.9328918702948
Arequipa,2023,vacuno,5481.407,219346.0,33219.0,165.00818808513202
Moquegua,2023,vacuno,747.8455344857891,23201.5,3695.0,202.3939200232176
Tacna,2023,vacuno,1017.4038084090907,18651.0,5396.0,188.5477776888604
Ayacucho,2023,vacuno,12583.07649,421401.0,98128.0,128.2312539744008
Apurímac,2023,vacuno,4072.617498,293901.5,35287.04,115.41397345881094
Cusco,2023,vacuno,11984.620049999996,441440.0,77093.0,155.4566568949191
Puno,2023,vacuno,22610.585,750570.0,156710.0,144.28297492183012
San Martín,2023,vacuno,5698.225955093216,213905.0,51424.0,110.80868767682824
Loreto,2023,vacuno,1550.2587299999998,79468.0,10379.0,149.36494170922052
Ucayali,2023,vacuno,2732.73759,73825.0,21472.0,127.26982069672133
Madre de Dios,2023,vacuno,1887.43894891,64923.0,11649.0,162.02583474203794
Tumbes,2022,vacuno,494.43,19995.0,3329.0,148.52207870231302
Piura,2022,vacuno,7206.76,280558.0,47003.9,153.32259663559833
Lambayeque,2022,vacuno,2995.19,111810.0,20895.0,143.34481933476908
