,especie/ producto,month,price,year
186,Lana ovino,may,6.8543518648496615,2023
187,Ave,jun,7.029817093532695,2023
188,Ovino,jun,5.652548930094374,2023
189,Porcino,jun,7.17640342644515,2023
190,Vacuno,jun,5.855488753530319,2023
191,Caprino,jun,4.805418082324073,2023
192,Alpaca,jun,4.796674278368678,2023
193,Llama,jun,3.8211704854787794,2023
194,Huevo gallina,jun,5.315855249406527,2023
195,Fibra alpaca,jun,14.146961906059527,2023
196,Fibra llama,jun,7.125799460486596,2023
197,Lana ovino,jun,7.071301156576325,2023
198,Ave,jul,7.05094550822727,2023
199,Ovino,jul,5.65237016246931,2023
200,Porcino,jul,7.236634066222461,2023
201,Vacuno,jul,5.853035861144839,2023
202,Caprino,jul,4.807673143993715,2023
203,Alpaca,jul,4.789705700558592,2023
204,Llama,jul,3.7964557000617964,2023
205,Huevo gallina,jul,5.319471961012963,2023
206,Fibra alpaca,jul,14.809992035069065,2023
207,Fibra llama,jul,7.196467991169978,2023
208,Lana ovino,jul,7.100592578577369,2023
209,Ave,ago,7.05492525085523,2023
210,Ovino,ago,5.655711029847758,2023
211,Porcino,ago,7.2412085753054125,2023
212,Vacuno,ago,5.862189794436035,2023
213,Caprino,ago,4.813362661254634,2023
214,Alpaca,ago,4.785991987607057,2023
215,Llama,ago,3.786660647391957,2023
216,Huevo gallina,ago,5.326069816834681,2023
217,Fibra alpaca,ago,14.654149269195798,2023
218,Fibra llama,ago,0,2023
219,Lana ovino,ago,7.0053183055952175,2023
220,Ave,set,7.057804121018796,2023
221,Ovino,set,5.64849159849091,2023
222,Porcino,set,7.241979434471535,2023
223,Vacuno,set,5.866672041902496,2023
224,Caprino,set,4.816524862919316,2023
225,Alpaca,set,4.763191121694534,2023
226,Llama,set,3.779673171809911,2023
227,Huevo gallina,set,5.323016258330868,2023
228,Fibra alpaca,set,13.101276771721412,2023
229,Fibra llama,set,6.896207197123528,2023
230,Lana ovino,set,7.015881065974171,2023
231,Ave,oct,7.059021545033011,2023
232,Ovino,oct,5.64036487101999,2023
233,Porcino,oct,7.248600548142003,2023
234,Vacuno,oct,5.869993052085748,2023
235,Caprino,oct,4.809954264477418,2023
236,Alpaca,oct,4.745720926032328,2023
237,Llama,oct,3.751474221743357,2023
238,Huevo gallina,oct,5.322097511604261,2023
239,Fibra alpaca,oct,14.306932242348164,2023
240,Fibra llama,oct,6.867271632983565,2023
241,Lana ovino,oct,7.050321496125666,2023
242,Ave,nov,7.060362187898118,2023
243,Ovino,nov,5.627672908761786,2023
244,Porcino,nov,7.2547963340899715,2023
245,Vacuno,nov,5.856946661926538,2023
246,Caprino,nov,4.8091431464137155,2023
247,Alpaca,nov,4.734250054765389,2023
248,Llama,nov,3.728231585731029,2023
249,Huevo gallina,nov,5.335239657875592,2023
250,Fibra alpaca,nov,14.75231453725599,2023
251,Fibra llama,nov,6.575505665486166,2023
252,Lana ovino,nov,6.6874169108221455,2023
253,Ave,dic,7.088641067453632,2023
254,Ovino,dic,5.634583642180016,2023
255,Porcino,dic,7.3057029606914785,2023
256,Vacuno,dic,5.847159351005979,2023
257,Caprino,dic,4.815034348480626,2023
258,Alpaca,dic,4.677039814017332,2023
259,Llama,dic,3.722106527059839,2023
260,Huevo gallina,dic,5.3433873444899405,2023
261,Fibra alpaca,dic,14.751132453502086,2023
262,Fibra llama,dic,6.781307869714573,2023
263,Lana ovino,dic,6.862219529334941,2023
264,Ave,ene,6.002178819947545,2022
265,Ovino,ene,5.598040818528935,2022
266,Porcino,ene,7.006497400252624,2022
267,Vacuno,ene,5.8872542860068,2022
268,Caprino,ene,4.816197081717639,2022
269,Alpaca,ene,4.771103513209578,2022
270,Llama,ene,3.862595208881397,2022
271,Huevo Gallina,ene,4.205122456074617,2022
272,Fibra Alpaca,ene,14.89727060553254,2022
273,Fibra Llama,ene,6.650579045435303,2022
274,Lana Ovino,ene,6.910187414654933,2022
275,Ave,feb,6.006151175425492,2022
276,Ovino,feb,5.585942384515723,2022
277,Porcino,feb,6.9757612801304285,2022
278,Vacuno,feb,5.887109859052557,2022
279,Caprino,feb,4.82097347475779,2022
280,Alpaca,feb,4.823534813604537,2022
281,Llama,feb,3.898112557456911,2022
282,Huevo Gallina,feb,4.274205247162117,2022
283,Fibra Alpaca,feb,14.776391624793199,2022
284,Fibra Llama,feb,6.342696441392295,2022
285,Lana Ovino,feb,6.78457683363308,2022
286,Ave,mar,6.134781807147278,2022
287,Ovino,mar,5.600449319939365,2022
288,Porcino,mar,6.987211065607103,2022
289,Vacuno,mar,5.8970411942929415,2022
290,Caprino,mar,4.816912718606523,2022
291,Alpaca,mar,4.844118693363169,2022
292,Llama,mar,3.8958538960964684,2022
293,Huevo Gallina,mar,4.327230304585079,2022
294,Fibra Alpaca,mar,14.795882005423469,2022
295,Fibra Llama,mar,6.406398866257927,2022
296,Lana Ovino,mar,6.782778997514792,2022
297,Ave,abr,6.088438541265898,2022
298,Ovino,abr,5.610448033783842,2022
299,Porcino,abr,7.012825989056202,2022
300,Vacuno,abr,5.9096040585084415,2022
301,Caprino,abr,4.797407104314954,2022
302,Alpaca,abr,4.8988963882314245,2022
303,Llama,abr,3.9351418790530337,2022
304,Huevo Gallina,abr,4.405225783911623,2022
305,Fibra Alpaca,abr,13.371014340149417,2022
306,Fibra Llama,abr,5.990003207757228,2022
307,Lana Ovino,abr,6.993046919578813,2022
308,Ave,may,6.121892224499394,2022
309,Ovino,may,5.618296119933009,2022
310,Porcino,may,7.021690570461138,2022
311,Vacuno,may,5.921102900194336,2022
312,Caprino,may,4.794661381062408,2022
313,Alpaca,may,4.879999242355496,2022
314,Llama,may,3.9146752342735778,2022
315,Huevo Gallina,may,4.419648161121186,2022
316,Fibra Alpaca,may,13.491360227627151,2022
317,Fibra Llama,may,6.335026521875993,2022
318,Lana Ovino,may,7.625016430118342,2022
319,Ave,jun,6.193253982632919,2022
320,Ovino,jun,5.608409739084831,2022
321,Porcino,jun,7.008498460185397,2022
322,Vacuno,jun,5.915530423762896,2022
323,Caprino,jun,4.8088737299599655,2022
324,Alpaca,jun,4.880658500114957,2022
325,Llama,jun,3.898982505985561,2022
326,Huevo Gallina,jun,4.852808044663895,2022
327,Fibra Alpaca,jun,13.774789385982908,2022
328,Fibra Llama,jun,6.699734393825787,2022
329,Lana Ovino,jun,7.609860750321067,2022
330,Ave,jul,6.259683137599192,2022
331,Ovino,jul,5.618950866753095,2022
332,Porcino,jul,7.020822826698099,2022
333,Vacuno,jul,5.9328641747125515,2022
334,Caprino,jul,4.81092630626191,2022
335,Alpaca,jul,4.875102693486485,2022
336,Llama,jul,3.8719588838430106,2022
337,Huevo Gallina,jul,4.824618125108204,2022
338,Fibra Alpaca,jul,13.55206973974516,2022
339,Fibra Llama,jul,6.339955849889624,2022
340,Lana Ovino,jul,7.48419629450285,2022
341,Ave,ago,6.74629816588107,2022
342,Ovino,ago,5.61341377836477,2022
343,Porcino,ago,7.066254273800638,2022
344,Vacuno,ago,5.92131690617403,2022
345,Caprino,ago,4.808119288117959,2022
346,Alpaca,ago,4.862916333219396,2022
347,Llama,ago,3.8432288160715355,2022
348,Huevo Gallina,ago,4.8032507779,2022
349,Fibra Alpaca,ago,13.755351006656795,2022
350,Fibra Llama,ago,0,2022
